"File_name","Scenario_file_name","Management","Plot_ID","V_saw_big","V_saw_small_all","Ectomycorrhizal_mushrooms","Carbon_total_all"
"bau_PA2012__Output_Plot_MX_PS30.xlsx","bau_PA2012.json","BAU","MX_PS30",0,411.78,18.65,321.54
"carb_1.2_RP2016__Output_Plot_MX_PS30.xlsx","carb_1.2_RP2016.json","CARBON","MX_PS30",27.42,539.59,25.14,405.1
"control__Output_Plot_MX_PS30.xlsx","control.json","CONTROL","MX_PS30",0,392.8,13.71,292.53
"mush_3.0_DM2019__Output_Plot_MX_PS30.xlsx","mush_3.0_DM2019.json","MUSHROOM","MX_PS30",25.61,568.22,25.8,418
"wood_1.2_DR2006__Output_Plot_MX_PS30.xlsx","wood_1.2_DR2006.json","WOOD","MX_PS30",75.54,407.9,17.98,315.19
"bau_PA2012__Output_Plot_MX_PS50.xlsx","bau_PA2012.json","BAU","MX_PS50",0,391.82,24.42,327.84
"carb_1.2_RP2016__Output_Plot_MX_PS50.xlsx","carb_1.2_RP2016.json","CARBON","MX_PS50",20.31,495.92,31.77,411.37
"control__Output_Plot_MX_PS50.xlsx","control.json","CONTROL","MX_PS50",0,370.16,17.56,293.46
"mush_3.0_DM2019__Output_Plot_MX_PS50.xlsx","mush_3.0_DM2019.json","MUSHROOM","MX_PS50",24.5,532.82,32.45,424.68
"wood_1.2_DR2006__Output_Plot_MX_PS50.xlsx","wood_1.2_DR2006.json","WOOD","MX_PS50",79.43,353.15,21.83,321.47
"bau_PA2012__Output_Plot_MX_PS70.xlsx","bau_PA2012.json","BAU","MX_PS70",17.14,355.86,31.32,324.8
"carb_1.2_RP2016__Output_Plot_MX_PS70.xlsx","carb_1.2_RP2016.json","CARBON","MX_PS70",22.66,437.71,39.25,406.74
"control__Output_Plot_MX_PS70.xlsx","control.json","CONTROL","MX_PS70",0,335.8,22.36,279.02
"mush_3.0_DM2019__Output_Plot_MX_PS70.xlsx","mush_3.0_DM2019.json","MUSHROOM","MX_PS70",22.32,456.82,39.76,420.35
"wood_1.2_DR2006__Output_Plot_MX_PS70.xlsx","wood_1.2_DR2006.json","WOOD","MX_PS70",56.51,318.06,29.23,324.23
"bau_PA2012__Output_Plot_PS.xlsx","bau_PA2012.json","BAU","PS",0,204.7,49.81,293.92
"carb_1.2_RP2016__Output_Plot_PS.xlsx","carb_1.2_RP2016.json","CARBON","PS",0,251.13,55.18,364.94
"control__Output_Plot_PS.xlsx","control.json","CONTROL","PS",0,220.76,36.49,237.28
"mush_3.0_DM2019__Output_Plot_PS.xlsx","mush_3.0_DM2019.json","MUSHROOM","PS",0,262.05,54.33,382.46
"wood_1.2_DR2006__Output_Plot_PS.xlsx","wood_1.2_DR2006.json","WOOD","PS",0,193.19,54.16,302.25
"bau_PA2012__Output_Plot_PT.xlsx","bau_PA2012.json","BAU","PT",0,425.65,12.93,302.47
"carb_1.2_RP2016__Output_Plot_PT.xlsx","carb_1.2_RP2016.json","CARBON","PT",38.08,562.45,15.47,386.54
"control__Output_Plot_PT.xlsx","control.json","CONTROL","PT",0,433.86,8.24,277.44
"mush_3.0_DM2019__Output_Plot_PT.xlsx","mush_3.0_DM2019.json","MUSHROOM","PT",25.9,580.78,16,399.33
"wood_1.2_DR2006__Output_Plot_PT.xlsx","wood_1.2_DR2006.json","WOOD","PT",59,428.63,14.8,299.31
